,Chicago,New York City,Detroit,Los Angeles,Philadelphia
0,propP,mdMlScY,sekWrkP,mdMlScY,pt1p5t2
1,sekWrkP,clerclP,tnPt152,propP,profP
2,undrP51,nRprtRm,fm20pls,sekWrkP,ntInLbP
3,fm1Dtch,tnP5175,nMjrRpr,tnPt761,fam3
4,ntInLbP,fam5to9,profP,profP,tnPt761
5,semPrfP,semPrfP,mdMlScY,htCntrl,oprtvsP
6,domstcP,laborP,propP,hghSchl,sekWrkP
7,tnPt2pl,oprtvsP,fm1Dtch,majrRpr,domstcP
8,fm2Othr,tnNRprt,majrRpr,rfrgOth,hghSchl
9,nRprtSc,nMjrRpr,craftsP,rprNRpr,fm1Dtch
10,fm10t19,fm1Attc,pt1p5t2,htNRprt,emplydP
11,noSchol,propP,fm2Othr,semPrfP,servicP
12,rfrgNRp,tnUnP51,refrgNn,craftsP,nMjrRpr
13,tnPt115,othrStr,noRadio,htNCntr,rprNRpr
14,oprtvsP,htNCntr,ntInLbP,tnP5175,tnPt115
